timestamp,time_ms,chamber_pressure_psi,tank_pressure_psi,thrust_n,chamber_temp_c
2024-10-14T10:30:00.000,0,15.2,798.5,2.3,25.4
2024-10-14T10:30:00.010,10,45.8,797.8,8.9,156.7
2024-10-14T10:30:00.020,20,98.3,797.2,22.1,389.2
2024-10-14T10:30:00.030,30,165.4,796.5,41.2,678.5
2024-10-14T10:30:00.040,40,235.7,795.9,67.8,1024.3
2024-10-14T10:30:00.050,50,298.2,795.2,95.4,1389.6
2024-10-14T10:30:00.060,60,356.8,794.6,120.5,1712.8
2024-10-14T10:30:00.070,70,398.5,793.9,138.2,1998.4
2024-10-14T10:30:00.080,80,425.3,793.3,148.6,2189.5
2024-10-14T10:30:00.090,90,438.7,792.6,153.8,2345.7
2024-10-14T10:30:00.100,100,445.2,792.0,156.2,2456.3
2024-10-14T10:30:00.110,110,447.8,791.3,157.5,2534.8
2024-10-14T10:30:00.120,120,449.1,790.7,158.1,2589.2
2024-10-14T10:30:00.130,130,448.5,790.0,157.9,2625.6
2024-10-14T10:30:00.140,140,447.3,789.4,157.3,2648.9
2024-10-14T10:30:00.150,150,445.8,788.7,156.5,2662.3
2024-10-14T10:30:00.160,160,444.2,788.1,155.6,2668.7
2024-10-14T10:30:00.170,170,442.6,787.4,154.8,2671.2
2024-10-14T10:30:00.180,180,441.1,786.8,154.1,2671.8
2024-10-14T10:30:00.190,190,439.7,786.1,153.4,2671.4
2024-10-14T10:30:00.200,200,438.4,785.5,152.8,2670.5
2024-10-14T10:30:00.300,300,432.5,780.2,150.1,2665.8
2024-10-14T10:30:00.400,400,427.8,775.0,148.1,2659.3
2024-10-14T10:30:00.500,500,423.9,769.8,146.5,2651.7
2024-10-14T10:30:00.600,600,420.5,764.5,145.2,2643.2
2024-10-14T10:30:00.700,700,417.6,759.3,144.1,2634.5
2024-10-14T10:30:00.800,800,415.1,754.1,143.2,2625.8
2024-10-14T10:30:00.900,900,413.0,748.8,142.5,2617.1
2024-10-14T10:30:01.000,1000,411.2,743.6,141.9,2608.6
2024-10-14T10:30:01.100,1100,409.7,738.4,141.5,2600.3
2024-10-14T10:30:01.200,1200,408.5,733.1,141.2,2592.2
2024-10-14T10:30:01.300,1300,407.6,727.9,141.1,2584.4
2024-10-14T10:30:01.400,1400,407.0,722.7,141.1,2576.9
2024-10-14T10:30:01.500,1500,406.6,717.4,141.2,2569.7
2024-10-14T10:30:01.600,1600,406.5,712.2,141.5,2562.8
2024-10-14T10:30:01.700,1700,406.7,707.0,141.8,2556.3
2024-10-14T10:30:01.800,1800,407.1,701.7,142.3,2550.1
2024-10-14T10:30:01.810,1810,406.8,700.9,142.1,2548.7
2024-10-14T10:30:01.820,1820,405.9,700.2,141.5,2545.9
2024-10-14T10:30:01.830,1830,404.3,699.4,140.3,2541.2
2024-10-14T10:30:01.840,1840,401.8,698.6,138.2,2533.8
2024-10-14T10:30:01.850,1850,398.2,697.9,135.1,2522.6
2024-10-14T10:30:01.860,1860,393.4,697.1,130.8,2506.4
2024-10-14T10:30:01.870,1870,387.1,696.3,125.2,2484.1
2024-10-14T10:30:01.880,1880,379.2,695.6,118.2,2454.7
2024-10-14T10:30:01.890,1890,369.5,694.8,109.7,2417.2
2024-10-14T10:30:01.900,1900,358.0,694.0,99.8,2370.5
2024-10-14T10:30:01.910,1910,344.6,693.3,88.5,2313.8
2024-10-14T10:30:01.920,1920,329.3,692.5,76.0,2246.4
2024-10-14T10:30:01.930,1930,312.1,691.7,62.4,2167.9
2024-10-14T10:30:01.940,1940,293.2,691.0,48.1,2078.2
2024-10-14T10:30:01.950,1950,272.8,690.2,33.5,1977.5
2024-10-14T10:30:01.960,1960,251.3,689.4,19.2,1866.8
2024-10-14T10:30:01.970,1970,228.9,688.7,5.8,1747.3
2024-10-14T10:30:01.980,1980,206.1,687.9,0.0,1620.5
2024-10-14T10:30:01.990,1990,183.4,687.1,0.0,1488.9
2024-10-14T10:30:02.000,2000,161.2,686.4,0.0,1355.2
